"year","last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
2022,"Machado, Manny",592518,447,16,36.7,112.4,91.5,102.6,95,90.5,463,179,401,219,49,44,9.8,6.8
2022,"Bogaerts, Xander",593428,446,10.2,30.3,113,88.1,100,92.1,85.8,423,148,390,176,39.5,29,6.5,4.6
2022,"Lowe, Nathaniel",663993,446,8.2,34.1,113,90.2,102,93.5,88.6,452,156,408,200,44.8,44,9.9,6.8
2022,"Crawford, J.P.",641487,445,8.9,32.4,109.3,85.1,96.7,89.2,83.1,417,140,396,132,29.7,9,2,1.5
2022,"Devers, Rafael",646240,444,11.3,33.1,113.7,93.1,103.8,96.6,91.1,441,167,404,226,50.9,51,11.5,8.3
2022,"Andrus, Elvis",462101,443,11.9,28.9,109.9,87.9,98.3,91.2,87.6,444,149,394,154,34.8,20,4.5,3.5
2022,"Altuve, Jose",514888,441,16.1,35.1,109.8,85.9,97.3,91.1,82.1,422,163,388,131,29.7,34,7.7,5.6
2022,"Kemp, Tony",643393,436,15,33.3,103.2,84.4,93.1,89,81.2,392,152,373,65,14.9,7,1.6,1.3
2022,"Farmer, Kyle",571657,435,12.7,37.7,106.6,85.5,97.1,90.3,82.3,431,156,389,146,33.8,19,4.4,3.3
2022,"Arozarena, Randy",668227,432,8.8,28.2,114.1,89.9,101.2,95.1,87.7,431,140,400,177,41,34,7.9,5.3
2022,"Rodgers, Brendan",663898,431,4.6,31.3,112.2,90,101.1,93.8,87.4,438,144,417,198,45.9,31,7.2,5.3
2022,"Flores, Wilmer",527038,429,20.7,35.7,108.3,87.8,97.7,90.8,85,421,183,384,152,35.4,27,6.3,4.5
2022,"Happ, Ian",664023,428,10.9,29.2,113.9,89.7,100.3,94.3,86.2,429,157,390,172,40.4,28,6.5,4.4
2022,"Ohtani, Shohei",660271,428,12.1,35,119.1,92.9,103.8,97.3,88.4,462,178,408,213,49.8,72,16.8,10.8
2022,"García, Adolis",666969,428,13.2,36.7,113,92.1,102.4,96.4,88.9,453,175,403,203,47.4,55,12.9,8.4
2022,"Soto, Juan",665742,428,9.1,28.5,113.2,91,102.2,97.2,86.1,451,157,410,203,47.4,53,12.4,8
2022,"Blackmon, Charlie",453568,428,12.4,36.7,109.5,86.2,97.4,90.2,82.7,453,161,409,131,30.6,19,4.4,3.3
2022,"Merrifield, Whit",593160,427,15.1,37.5,107.6,87.1,96.4,90.8,83.9,413,168,383,133,31.1,18,4.2,3.3
2022,"Hoerner, Nico",663538,426,10.6,32.4,109.7,87.2,97.7,89.8,86.8,407,153,381,141,33.5,11,2.6,2.1
2022,"Hays, Austin",669720,424,11.3,32.3,109,87.7,99,92.3,85.8,464,156,397,160,37.7,22,5.2,3.8
2022,"Kim, Ha-Seong",673490,424,16.1,34,109.4,86.7,97.6,91,84.3,426,164,398,137,32.4,18,4.2,3.1
