"year","last_name, first_name","player_id","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
2022,"Profar, Jurickson",595777,658,478,0.243,0.251,-0.00800000000000001,0.391,0.359,0.032,0.32,0.315,0.005
2022,"García, Adolis",666969,657,428,0.25,0.244,0.00600000000000001,0.456,0.447,0.00900000000000001,0.324,0.322,0.002
2022,"Bregman, Alex",608324,656,481,0.259,0.257,0.002,0.454,0.416,0.038,0.358,0.35,0.00800000000000001
2022,"Goldschmidt, Paul",502671,651,424,0.317,0.261,0.056,0.578,0.482,0.096,0.419,0.367,0.052
2022,"Bell, Josh",605137,647,456,0.266,0.273,-0.00700000000000001,0.422,0.424,-0.002,0.344,0.349,-0.005
2022,"Santander, Anthony",623993,647,457,0.24,0.257,-0.017,0.455,0.471,-0.016,0.336,0.352,-0.016
2022,"Lowe, Nathaniel",663993,645,446,0.302,0.275,0.027,0.492,0.459,0.033,0.368,0.344,0.024
2022,"Arozarena, Randy",668227,645,432,0.263,0.234,0.029,0.445,0.382,0.063,0.336,0.301,0.035
2022,"Machado, Manny",592518,644,447,0.298,0.267,0.031,0.531,0.45,0.081,0.382,0.341,0.041
2022,"Verdugo, Alex",657077,644,513,0.28,0.278,0.002,0.405,0.428,-0.023,0.319,0.329,-0.01
2022,"Happ, Ian",664023,641,428,0.271,0.239,0.032,0.44,0.379,0.061,0.339,0.306,0.033
2022,"Betts, Mookie",605141,639,472,0.269,0.254,0.015,0.533,0.465,0.068,0.373,0.344,0.029
2022,"Kwan, Steven",680757,638,509,0.298,0.268,0.03,0.4,0.341,0.059,0.341,0.312,0.029
2022,"Cron, C.J.",543068,632,416,0.257,0.243,0.014,0.468,0.435,0.033,0.335,0.32,0.015
2022,"Witt Jr., Bobby",677951,632,461,0.254,0.252,0.002,0.428,0.427,0.001,0.311,0.313,-0.002
2022,"Bogaerts, Xander",593428,631,446,0.307,0.259,0.048,0.456,0.383,0.073,0.363,0.323,0.04
2022,"Bohm, Alec",664761,631,486,0.28,0.29,-0.00999999999999995,0.398,0.436,-0.038,0.31,0.333,-0.023
2022,"Edman, Tommy",669242,630,468,0.265,0.258,0.00700000000000001,0.4,0.38,0.02,0.318,0.308,0.01
2022,"Suárez, Eugenio",553993,629,352,0.236,0.22,0.016,0.459,0.454,0.005,0.344,0.339,0.00499999999999995
2022,"Pham, Tommy",502054,622,392,0.236,0.238,-0.002,0.374,0.383,-0.00900000000000001,0.304,0.311,-0.00700000000000001
2022,"Chapman, Matt",656305,621,373,0.229,0.234,-0.005,0.433,0.44,-0.00700000000000001,0.331,0.341,-0.01
2022,"Arenado, Nolan",571448,620,489,0.293,0.266,0.027,0.533,0.445,0.088,0.381,0.339,0.042
2022,"Adames, Willy",642715,617,401,0.238,0.238,0,0.458,0.451,0.00700000000000001,0.325,0.323,0.002
2022,"Hernández, César",514917,617,451,0.248,0.248,0,0.318,0.329,-0.011,0.283,0.29,-0.00700000000000001
2022,"Devers, Rafael",646240,614,444,0.295,0.282,0.013,0.521,0.497,0.024,0.373,0.361,0.012
2022,"Reynolds, Bryan",668804,614,403,0.262,0.249,0.013,0.461,0.416,0.045,0.349,0.329,0.02
2022,"France, Ty",664034,613,462,0.274,0.262,0.012,0.436,0.397,0.039,0.337,0.321,0.016
2022,"Murphy, Sean",669221,612,418,0.25,0.255,-0.005,0.426,0.439,-0.013,0.331,0.344,-0.013
