"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF",2022-07-14,96.8,-2.88,5.24,"Judge, Aaron",592450,622491,"","ball",NA,NA,NA,NA,14,"Aaron Judge walks.","R","R","R","NYY","CIN","B",NA,"",0,0,2022,-0.9,1.36,1.65,2.52,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,663886,NA,NA,13.8520744610753,-140.231912258425,-4.71828141124973,-14.9807235615811,30.511840328585,-13.1877016171942,3.99,1.89,NA,NA,NA,95,2477,5.4,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,55.09,NA,NA,NA,NA,NA,NA,NA,44,1,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",233,0,0.023
"CH",2022-07-14,89.8,-3.01,4.95,"Judge, Aaron",592450,622491,"field_out","hit_into_play",NA,NA,NA,NA,8,"Aaron Judge flies out to left fielder Tommy Pham.","R","R","R","NYY","CIN","X",7,"fly_ball",2,2,2022,-1.78,0.18,0.09,2,NA,NA,518934,2,3,"Bot",72,93.88,NA,NA,663886,NA,NA,11.2413381135939,-130.304619560508,-1.67791095544708,-22.566083350109,26.6556726731643,-29.943986840634,3.94,1.92,314,85.4,29,88.6,2005,5.6,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.87,0.069,0.075,0,1,0,0,3,22,5,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",247,-0.026,-0.188
"CH",2022-07-14,89.2,-2.99,5,"Judge, Aaron",592450,622491,"","swinging_strike",NA,NA,NA,NA,14,"Aaron Judge flies out to left fielder Tommy Pham.","R","R","R","NYY","CIN","S",NA,"",2,1,2022,-1.55,0.45,0.65,1.56,NA,NA,518934,2,3,"Bot",NA,NA,NA,NA,663886,NA,NA,12.0662293829476,-129.329929634575,-3.34126766280743,-19.8674122412328,25.384573727115,-26.6186629353468,3.94,1.92,NA,NA,NA,88.4,1930,5.9,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.65,NA,NA,NA,NA,NA,NA,NA,22,4,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",244,0,-0.05
"SI",2022-07-14,96.7,-3.01,5.11,"Judge, Aaron",592450,622491,"","ball",NA,NA,NA,NA,13,"Aaron Judge flies out to left fielder Tommy Pham.","R","R","R","NYY","CIN","B",NA,"",1,1,2022,-1.49,0.43,-2.22,2.5,NA,NA,518934,2,3,"Bot",NA,NA,NA,NA,663886,NA,NA,5.41990299630751,-140.672386763165,-2.33522542702836,-21.0521985526147,32.6397961462148,-26.115991515709,3.92,1.92,NA,NA,NA,95.1,2123,5.4,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,55.06,NA,NA,NA,NA,NA,NA,NA,22,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",241,0,0.029
"FF",2022-07-14,98.1,-2.83,5.15,"Judge, Aaron",592450,622491,"","called_strike",NA,NA,NA,NA,8,"Aaron Judge flies out to left fielder Tommy Pham.","R","R","R","NYY","CIN","S",NA,"",1,0,2022,-1.05,1.05,0.26,1.76,NA,NA,518934,2,3,"Bot",NA,NA,NA,NA,663886,NA,NA,10.6053410383665,-142.471930096378,-6.05510415282886,-16.6218712350422,31.1192062731027,-16.56342252851,3.95,1.87,NA,NA,NA,96.9,2354,5.6,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.91,NA,NA,NA,NA,NA,NA,NA,22,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",235,0,-0.041
"SI",2022-07-14,98.7,-2.9,5.1,"Judge, Aaron",592450,622491,"","ball",NA,NA,NA,NA,13,"Aaron Judge flies out to left fielder Tommy Pham.","R","R","R","NYY","CIN","B",NA,"",0,0,2022,-1.5,0.59,-0.63,1.33,NA,NA,518934,2,3,"Bot",NA,NA,NA,NA,663886,NA,NA,9.50516744921025,-143.254812581093,-6.05684545919727,-22.8067361627968,33.9337788688242,-22.8389990613124,3.95,1.92,NA,NA,NA,97.3,2209,5.7,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.83,NA,NA,NA,NA,NA,NA,NA,22,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",239,0,0.032
"SL",2022-07-14,84.7,-3.2,5.57,"Judge, Aaron",592450,519326,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Aaron Judge strikes out swinging.","R","R","R","NYY","CIN","S",2,"",0,2,2022,1.01,-0.11,0.3,1.26,NA,NA,NA,0,9,"Bot",NA,NA,NA,NA,663886,NA,NA,6.11435830272889,-123.271747186311,-3.4825205188448,9.01936793935695,25.6842961356393,-32.740017222933,3.94,1.92,NA,NA,NA,84.1,2912,6,661261,519326,663886,458015,663697,592273,571657,502054,669222,571980,54.49,NA,NA,0,1,0,0,NA,76,3,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",68,-0.057,-0.141
"SL",2022-07-14,84.5,-3.19,5.61,"Judge, Aaron",592450,519326,"","swinging_strike",NA,NA,NA,NA,14,"Aaron Judge strikes out swinging.","R","R","R","NYY","CIN","S",NA,"",0,1,2022,0.89,-0.04,0.36,1.74,NA,NA,NA,0,9,"Bot",NA,NA,NA,NA,663886,NA,NA,6.43160673527743,-122.903697846134,-2.47204718026007,7.48845664104276,27.069994587427,-32.3092844617796,3.94,1.92,NA,NA,NA,83.3,2851,5.8,661261,519326,663886,458015,663697,592273,571657,502054,669222,571980,54.71,NA,NA,NA,NA,NA,NA,NA,76,2,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",74,0,-0.046
"SL",2022-07-14,84.5,-3.28,5.68,"Judge, Aaron",592450,519326,"","swinging_strike",NA,NA,NA,NA,8,"Aaron Judge strikes out swinging.","R","R","R","NYY","CIN","S",NA,"",0,0,2022,0.93,0.07,0.09,1.97,NA,NA,NA,0,9,"Bot",NA,NA,NA,NA,663886,NA,NA,5.97251254422853,-123.011433405333,-2.40178324153625,8.21163377722096,24.9992117863716,-31.2206950232347,3.94,1.92,NA,NA,NA,83.9,2793,5.9,661261,519326,663886,458015,663697,592273,571657,502054,669222,571980,54.57,NA,NA,NA,NA,NA,NA,NA,76,1,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",74,0,-0.034
"SI",2022-07-14,98.4,-2.99,5.18,"Judge, Aaron",592450,622491,"force_out","hit_into_play",NA,NA,NA,NA,4,"Aaron Judge grounds into a force out, third baseman Brandon Drury to second baseman Jonathan India.   DJ LeMahieu out at 2nd.    Aaron Judge to 1st.","R","R","R","NYY","CIN","X",5,"ground_ball",0,1,2022,-1.57,0.42,-0.75,3.02,NA,NA,518934,0,1,"Bot",108.95,171.41,NA,NA,663886,NA,NA,9.55898720158864,-143.154434215526,-1.4034668144221,-23.6966398932953,29.8697056255942,-26.2724918496466,3.94,1.92,4,73.6,-33,97.4,2310,5.5,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.96,0.054,0.049,0,1,0,0,2,7,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",238,-0.033,-0.444
"FF",2022-07-14,99.2,-2.86,5.2,"Judge, Aaron",592450,622491,"","called_strike",NA,NA,NA,NA,8,"Aaron Judge grounds into a force out, third baseman Brandon Drury to second baseman Jonathan India.   DJ LeMahieu out at 2nd.    Aaron Judge to 1st.","R","R","R","NYY","CIN","S",NA,"",0,0,2022,-1.06,1.23,-0.06,2.24,NA,NA,518934,0,1,"Bot",NA,NA,NA,NA,663886,NA,NA,9.98649636770915,-144.030196010123,-5.44471959494266,-17.1136709298259,33.7742834172564,-13.8695662977893,3.99,1.92,NA,NA,NA,97.6,2500,5.5,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.99,NA,NA,NA,NA,NA,NA,NA,7,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",237,0,-0.066
"FF",2022-07-14,94.9,-2.33,5.97,"Judge, Aaron",592450,656546,"home_run","hit_into_play",NA,NA,NA,NA,5,"Aaron Judge homers (31) on a fly ball to center field.","R","R","R","NYY","CIN","X",NA,"fly_ball",2,1,2022,-0.58,1.51,0.18,2.75,NA,NA,NA,0,8,"Bot",161.93,26.18,NA,NA,663886,NA,NA,7.94478312187424,-138.006679658447,-6.22955883496758,-9.18470301707309,29.2355276003005,-11.5850671510284,3.94,1.92,435,112,23,95.9,2509,6.8,661261,656546,663886,458015,663697,592273,571657,502054,669222,656413,53.68,0.98,1.958,2,1,0,3,6,63,4,"4-Seam Fastball",1,4,1,4,4,2,2,4,"Standard","Standard",214,0.077,0.96
